代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额
sz159998,计算机ETF,1.134,-0.04,-3.407,1.133,1.134,1.174,1.194,1.203,1.131,588643367,681878632
sz159997,电子ETF,1.705,-0.053,-3.015,1.705,1.706,1.758,1.752,1.76,1.694,28550100,49560614
sz159996,家电ETF,1.599,-0.022,-1.357,1.599,1.605,1.621,1.617,1.631,1.596,48767445,78649165
sz159995,芯片ETF,1.872,-0.065,-3.356,1.871,1.872,1.937,1.938,1.944,1.86,548845523,1041650971
sz159994,5GETF,1.883,-0.061,-3.138,1.882,1.883,1.944,1.931,1.95,1.877,161820909,308369825
sz159993,证券ETF龙头,1.339,-0.01,-0.741,1.338,1.339,1.349,1.353,1.37,1.337,123624311,167291298
sz159992,创新药ETF,0.908,0.011,1.226,0.907,0.908,0.897,0.9,0.925,0.9,1177635274,1074767958
sz159991,创大盘ETF,0.772,-0.012,-1.531,0.771,0.772,0.784,0.787,0.794,0.768,9930900,7769871
sz159985,豆粕ETF,1.976,0.002,0.101,1.975,1.976,1.974,1.972,1.98,1.965,62043100,122303738
sz159982,中证500ETF鹏华,2.136,-0.032,-1.476,2.135,2.136,2.168,2.168,2.169,2.126,8902264,19098840
sz159981,能源化工ETF,1.28,-0.008,-0.621,1.28,1.281,1.288,1.29,1.295,1.278,148549000,191125721
sz159980,有色ETF大成,2.119,-0.024,-1.12,2.119,2.12,2.143,2.13,2.162,2.117,721934396,1541238176
sz159977,创业板ETF天弘,1.726,-0.032,-1.82,1.726,1.727,1.758,1.759,1.775,1.718,107574580,188415035
sz159976,湾创ETF,1.385,-0.013,-0.93,1.385,1.386,1.398,1.396,1.407,1.384,89403,124532
sz159975,深100ETF招商,0.736,-0.011,-1.473,0.735,0.739,0.747,0.749,0.754,0.736,6786300,5063094
sz159974,央企创新ETF富国,1.848,-0.014,-0.752,1.846,1.852,1.862,1.874,1.874,1.84,1812200,3353966
sz159973,民企ETF,1.913,-0.033,-1.696,1.911,1.921,1.946,1.946,1.958,1.907,69600,134752
sz159972,5年地债ETF,117.17,0.03,0.026,117.169,117.17,117.14,117.14,117.17,117.116,11110700,1301723743
sz159971,创业板ETF富国,1.152,-0.024,-2.041,1.152,1.153,1.176,1.176,1.186,1.147,67670700,79046480
sz159970,深100ETF工银,1.008,-0.01,-0.982,1.006,1.012,1.018,1.02,1.028,1.004,2070500,2106424
sz159969,深100ETF银华,1.511,-0.017,-1.113,1.511,1.515,1.528,1.535,1.546,1.508,1178400,1793638
sz159968,中证500ETF博时,10.333,-0.174,-1.656,10.34,10.353,10.507,10.473,10.612,10.305,1670886,17368773
sz159967,创业板成长ETF,0.622,-0.012,-1.893,0.622,0.623,0.634,0.631,0.645,0.619,418813025,263841152
sz159966,创业板价值ETF,0.618,-0.009,-1.435,0.616,0.618,0.627,0.626,0.629,0.615,19138335,11900476
sz159965,央视50ETF,1.698,-0.01,-0.585,1.696,1.698,1.708,1.715,1.72,1.696,249900,427113
sz159964,创业板ETF平安,2.161,-0.043,-1.951,2.162,2.17,2.204,2.206,2.219,2.15,3178600,6953951
sz159961,深100ETF方正富邦,2.138,-0.032,-1.475,2.142,2.147,2.17,2.174,2.19,2.138,6417100,13926950
sz159960,恒生中国企业ETF,0.923,0.004,0.435,0.922,0.923,0.919,0.925,0.935,0.92,8544100,7933961
sz159959,央企ETF,1.649,-0.022,-1.317,1.649,1.654,1.671,1.673,1.674,1.647,2864300,4745366
sz159958,创业板ETF工银,2.002,-0.04,-1.959,2.002,2.006,2.042,2.042,2.06,1.994,6319200,12870996
sz159957,创业板ETF华夏,2.174,-0.047,-2.116,2.174,2.175,2.221,2.218,2.238,2.166,86199232,190381268
sz159956,创业板ETF建信,2.102,-0.035,-1.638,2.1,2.11,2.137,2.14,2.158,2.1,218500,467396
sz159954,恒生中国企业ETF南方,1.049,0.008,0.768,1.047,1.049,1.041,1.05,1.062,1.046,9190100,9681330
sz159952,创业板ETF广发,2.01,-0.044,-2.142,2.009,2.01,2.054,2.055,2.07,2.002,140884613,286862805
sz159949,创业板50ETF,1.56,-0.031,-1.948,1.559,1.56,1.591,1.592,1.61,1.553,1335195678,2110760552
sz159948,创业板ETF南方,3.665,-0.074,-1.979,3.664,3.665,3.739,3.748,3.771,3.649,23258200,86236535
sz159945,能源ETF广发,1.214,0.005,0.414,1.21,1.214,1.209,1.21,1.221,1.207,2476104,3006735
sz159944,材料ETF,1.602,0.002,0.125,1.602,1.608,1.6,1.587,1.63,1.587,1484492,2391547
sz159943,深证成指ETF大成,1.539,-0.028,-1.787,1.539,1.544,1.567,1.567,1.573,1.536,11601888,18037490
sz159941,纳指ETF,1.421,0.009,0.637,1.42,1.421,1.412,1.413,1.425,1.405,907046717,1281885959
sz159940,金融地产ETF,1.308,0.001,0.077,1.308,1.314,1.307,1.311,1.326,1.308,5615700,7392755
sz159939,信息技术ETF,0.944,-0.033,-3.378,0.944,0.945,0.977,0.978,0.98,0.941,57622900,55452455
sz159938,医药ETF广发,0.704,0.007,1.004,0.703,0.704,0.697,0.699,0.717,0.699,188345100,133089650
sz159937,黄金ETF博时,9.769,0.011,0.113,9.768,9.769,9.758,9.763,9.803,9.75,127035808,1241739682
